image,name,location,other photos
خانه-موزه-جلال-پ-سیمین-1.jpg,Simin & Jalal House Museum,"https://www.google.com/maps/place/Simin+%26+Jalal+House+Museum/@35.8017919,51.4394391,15z/data=!4m6!3m5!1s0x3f8e05fdd11a7ded:0x65d2f5a687b2bf41!8m2!3d35.8017919!4d51.4394391!16s%2Fg%2F11gyx_y195?entry=ttu",
خانه-کاظمی.jpg,Kazemi Home Museum,"https://www.google.com/maps/place/%D9%85%D9%88%D8%B2%D9%87+%DA%A9%D8%A7%D8%B8%D9%85%DB%8C%E2%80%AD/@35.6776873,51.4341583,15z/data=!4m6!3m5!1s0x3f8e0203254176b5:0x917666ee6d42323e!8m2!3d35.6776873!4d51.4341583!16s%2Fg%2F120r4t7q?entry=ttu",
خیابان-۳۰-تیر.jpg,30Th Tir Street,"https://www.google.com/maps/place/Tehran+Province,+Tehran,+District+12,+30th+Tir+St/@35.6901971,51.4142979,17z/data=!3m1!4b1!4m6!3m5!1s0x3f8e0199f2027fd9:0xd4a5b0efda056b4f!8m2!3d35.6901971!4d51.4142979!16s%2Fg%2F1tvry5_s?entry=ttu",
دربند-تهران.jpg,Darband Neighborhood,"https://www.google.com/maps/place/Darband,+Tehran,+Tehran+Province/@35.823987,51.4252518,16z/data=!3m1!4b1!4m6!3m5!1s0x3f8e08b1e3bb99db:0xa2fb8a26871ef5c5!8m2!3d35.8233292!4d51.4250525!16zL20vMDVfdjZ3?entry=ttu",
درکه.jpg,درکه,,
دریاچه-شهدای-خلیج-فارس.jpeg,دریاچه شهدای خلیج فارس,,
روستای-وردیج-و-واریش.jpg,روستای وردیج و واریش,,
روستای-کن.jpg,روستای کن,,
سرخه-حصار-1.jpg,سرخه حصار 1,,
سردرباغ-ملی.jpg,سردرباغ ملی,,
سرکیس-مقدس.jpg,سرکیس مقدس,,
سعد-آباد-2.jpg,سعد آباد 2,,
شمس-العماره.jpg,شمس العماره,,
شهرک-سینمایی-غزالی.jpg,شهرک سینمایی غزالی,,
عمارت-مسعودیه2.jpg,عمارت مسعودیه2,,
عمارت-کلاه-فرنگی-سفرزون.jpg,عمارت کلاه فرنگی سفرزون,,
لالان.jpg,لالان,,
مدرسه-دارالفنون.jpg,مدرسه دارالفنون,,
مسجد-و-مدرسه-سپهسالار.jpg,مسجد و مدرسه سپهسالار,,
موزه-آبگینه-و-سفالینه-تهران.jpg,موزه آبگینه و سفالینه تهران,,
موزه-تماشاگه-زمان.jpg,موزه تماشاگه زمان,,
موزه-جواهر-1.jpg,موزه جواهر 1,,
موزه-صلح.jpg,موزه صلح,,
موزه-عبرت.jpg,موزه عبرت,,
موزه-فرش-ایران.jpg,موزه فرش ایران,,
موزه-مقدم.jpg,موزه مقدم,,
موزه-ملی-ایران.jpg,موزه ملی ایران,,
موزه-هنرهای-معاصر.jpg,موزه هنرهای معاصر,,
میلاد-2.jpg,میلاد 2,,
پارک-جنگلی-لویزان.jpg,پارک جنگلی لویزان,,
پارک-ساعی.jpg,پارک ساعی,,
پارک-ساعی2.jpg,پارک ساعی2,,
پارک-ملت.jpg,پارک ملت,,
پارک-پردیسان.jpg,پارک پردیسان,,
پارک-ژوراسیک.jpg,پارک ژوراسیک,,
پل-طبیعت-1.jpg,پل طبیعت 1,,
پیست-اسکی-توچال.jpg,پیست اسکی توچال,,
پیست-اسکی-دربندسر.jpg,پیست اسکی دربندسر,,
پیست-اسکی-دیزین.jpg,پیست اسکی دیزین,,
پیست-اسکی-شمشک.jpg,پیست اسکی شمشک,,
کاخ-نیاوران.jpg,کاخ نیاوران,,
کاخ-گلستان.jpg,کاخ گلستان,,
کاروانسرای-خانات.jpg,کاروانسرای خانات,,
گیاه-شناسی-2.jpg,گیاه شناسی 2,,
ییلاق-فشم-و-لواسان.jpg,ییلاق فشم و لواسان,,
